date,ticker,call_volume,put_volume,total_volume,call_open_interest,put_open_interest
2025-07-16,GE,5586.0,5236.0,10822.0,87893.0,35987.0
2025-07-16,TTE,22.0,64.0,86.0,5820.0,1274.0
2025-07-16,CVX,6003.0,3805.0,9808.0,64055.0,33992.0
2025-07-16,PEP,13214.0,9828.0,23042.0,70937.0,132924.0
2025-07-16,CME,399.0,174.0,573.0,6153.0,4332.0
2025-07-16,FAST,3417.0,946.0,4363.0,16525.0,6055.0
2025-07-16,ZION,83.0,363.0,446.0,1638.0,7480.0
2025-07-16,HON,564.0,297.0,861.0,13265.0,12615.0
2025-07-16,IPO,257.0,13.0,270.0,635.0,17.0
2025-07-16,MS,19886.0,15522.0,35408.0,52150.0,50969.0
2025-07-16,AMZN,144432.0,51521.0,195953.0,445344.0,258847.0
2025-07-16,SOFI,64457.0,32255.0,96712.0,279776.0,350329.0
2025-07-16,SHOP,9648.0,4815.0,14463.0,45740.0,42443.0
2025-07-16,ADBE,4920.0,4377.0,9297.0,35172.0,20182.0
2025-07-16,BABA,163852.0,51414.0,215266.0,184485.0,78494.0
2025-07-16,TSM,39773.0,33422.0,73195.0,117945.0,168509.0
2025-07-16,KHC,17674.0,3288.0,20962.0,52448.0,40795.0
2025-07-16,STZ,1029.0,1297.0,2326.0,19540.0,13827.0
2025-07-16,CPB,356.0,356.0,712.0,9781.0,3855.0
2025-07-16,FTCI,299.0,103.0,402.0,983.0,123.0
2025-07-16,PROP,17.0,204.0,221.0,305.0,580.0
2025-07-16,FTC,3.0,1.0,4.0,4.0,3.0
2025-07-16,ASML,10493.0,11209.0,21702.0,16489.0,20230.0
2025-07-16,TOST,668.0,1795.0,2463.0,21837.0,29710.0
2025-07-16,ELF,877.0,447.0,1324.0,13981.0,9977.0
2025-07-16,RBLX,9312.0,5912.0,15224.0,76426.0,97149.0
2025-07-17,TW,65.0,41.0,106.0,4743.0,2686.0
2025-07-17,NVDA,497537.0,247274.0,744811.0,1576483.0,1342462.0
2025-07-17,WM,124.0,118.0,242.0,5261.0,6435.0
2025-07-17,TALK,53.0,19.0,72.0,10243.0,1079.0
2025-07-17,MAPS,145.0,5.0,150.0,5772.0,23.0
2025-07-17,PG,4098.0,1965.0,6063.0,51885.0,23675.0
2025-07-17,E,25.0,3.0,28.0,105.0,13.0
2025-07-17,EIX,1843.0,111.0,1954.0,30017.0,16008.0
2025-07-17,PCG,1195.0,982.0,2177.0,176948.0,43894.0
2025-07-17,JBL,87.0,277.0,364.0,3419.0,5088.0
2025-07-17,EPS,5.0,0.0,5.0,15.0,0.0
2025-07-17,PFE,2928.0,1465.0,4393.0,162419.0,136653.0
2025-07-17,B,1553.0,336.0,1889.0,78171.0,27688.0
2025-07-17,JNJ,9902.0,3942.0,13844.0,58816.0,46585.0
2025-07-17,AI,50683.0,2618.0,53301.0,185760.0,27540.0
2025-07-17,ORCL,68735.0,21687.0,90422.0,78395.0,74125.0
2025-07-17,U,33358.0,13274.0,46632.0,61977.0,40756.0
2025-07-17,STT,67.0,87.0,154.0,10379.0,3051.0
2025-07-17,LMT,1293.0,475.0,1768.0,15339.0,8384.0
2025-07-17,S,810.0,42.0,852.0,11141.0,2186.0
2025-07-17,NVMI,56.0,619.0,675.0,246.0,771.0
2025-07-17,MNDY,116.0,99.0,215.0,1140.0,599.0
2025-07-17,INTU,929.0,400.0,1329.0,6040.0,10162.0
2025-07-17,AVGO,31768.0,15466.0,47234.0,147346.0,150374.0
2025-07-17,PLTR,125999.0,73222.0,199221.0,410874.0,352341.0
2025-07-17,NOW,1736.0,1494.0,3230.0,13324.0,9803.0
2025-07-17,LLY,3419.0,4250.0,7669.0,68881.0,29247.0
2025-07-17,AU,331.0,2464.0,2795.0,24131.0,45945.0
2025-07-17,APP,15446.0,8841.0,24287.0,57842.0,45411.0
2025-07-17,EA,374.0,109.0,483.0,6859.0,3566.0
2025-07-17,URBN,161.0,378.0,539.0,3893.0,3224.0
2025-07-17,FOX,42.0,5.0,47.0,303.0,108.0
2025-07-17,MSFT,58158.0,32111.0,90269.0,206077.0,163649.0
2025-07-17,GOOGL,71448.0,25032.0,96480.0,332845.0,201684.0
2025-07-17,NFLX,20574.0,19339.0,39913.0,76609.0,81024.0
2025-07-17,GE,16234.0,6554.0,22788.0,110751.0,45422.0
2025-07-17,TTE,27.0,59.0,86.0,5819.0,1267.0
2025-07-17,CVX,3419.0,3505.0,6924.0,68967.0,37114.0
2025-07-17,PEP,28565.0,12264.0,40829.0,86422.0,200181.0
2025-07-17,CME,256.0,66.0,322.0,5859.0,4247.0
2025-07-17,FAST,395.0,195.0,590.0,16214.0,5947.0
2025-07-17,ZION,96.0,934.0,1030.0,1597.0,8444.0
2025-07-17,HON,694.0,258.0,952.0,13127.0,12786.0
2025-07-17,IPO,147.0,12.0,159.0,608.0,17.0
2025-07-17,MS,1836.0,3770.0,5606.0,55515.0,57941.0
2025-07-17,AMZN,73263.0,23266.0,96529.0,438652.0,263161.0
2025-07-17,SOFI,29810.0,8929.0,38739.0,276487.0,354656.0
2025-07-17,SHOP,13872.0,2619.0,16491.0,46298.0,45881.0
2025-07-17,ADBE,2597.0,3766.0,6363.0,34975.0,18553.0
2025-07-17,BABA,54107.0,8968.0,63075.0,186209.0,83893.0
2025-07-17,TSM,85015.0,37932.0,122947.0,142914.0,190792.0
2025-07-17,KHC,3752.0,441.0,4193.0,52346.0,42587.0
2025-07-17,STZ,320.0,824.0,1144.0,19575.0,13482.0
2025-07-17,CPB,315.0,246.0,561.0,9672.0,3547.0
2025-07-17,FTCI,294.0,103.0,397.0,948.0,123.0
2025-07-17,PROP,12.0,203.0,215.0,306.0,558.0
2025-07-17,FTC,3.0,1.0,4.0,4.0,3.0
2025-07-17,ASML,6840.0,10159.0,16999.0,25439.0,27000.0
2025-07-17,TOST,3686.0,7240.0,10926.0,22251.0,27994.0
2025-07-17,ELF,1597.0,275.0,1872.0,13718.0,9670.0
2025-07-17,RBLX,8447.0,6231.0,14678.0,77996.0,101929.0
2025-07-17,TOUR,1.0,0.0,1.0,197.0,0.0
2025-07-17,STRL,97.0,185.0,282.0,628.0,851.0
2025-07-17,PRIM,52.0,61.0,113.0,881.0,657.0
2025-07-18,TW,64.0,66.0,130.0,4742.0,2652.0
2025-07-18,NVDA,479870.0,326844.0,806714.0,1492018.0,1325223.0
2025-07-18,WM,259.0,251.0,510.0,5230.0,6207.0
2025-07-18,TALK,33.0,23.0,56.0,10238.0,973.0
2025-07-18,MAPS,145.0,5.0,150.0,5809.0,23.0
2025-07-18,PG,6419.0,3118.0,9537.0,47167.0,23451.0
2025-07-18,E,21.0,3.0,24.0,104.0,13.0
2025-07-18,EIX,1900.0,1333.0,3233.0,29979.0,15661.0
2025-07-18,PCG,3067.0,807.0,3874.0,176573.0,43577.0
2025-07-18,JBL,67.0,167.0,234.0,3391.0,5085.0
2025-07-18,EPS,5.0,0.0,5.0,15.0,0.0
2025-07-18,PFE,4233.0,1860.0,6093.0,162227.0,134750.0
2025-07-18,B,1427.0,1156.0,2583.0,75537.0,26980.0
2025-07-18,JNJ,8117.0,2005.0,10122.0,58651.0,46410.0
2025-07-18,AI,11124.0,1694.0,12818.0,170405.0,28397.0
2025-07-18,ORCL,20938.0,11799.0,32737.0,78850.0,77795.0
2025-07-18,U,8524.0,5092.0,13616.0,63899.0,46329.0
2025-07-18,STT,227.0,72.0,299.0,10199.0,3032.0
2025-07-18,LMT,785.0,443.0,1228.0,15096.0,8170.0
2025-07-18,S,1243.0,35.0,1278.0,10525.0,2138.0
2025-07-18,NVMI,49.0,619.0,668.0,245.0,766.0
